,Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
0,Buenos Aires,25 de Mayo,25 de Mayo,6854100.0,873,4704,0,2,0,975,0,664,7218
1,Buenos Aires,25 de Mayo,Del Valle,6854020.0,181,0,0,0,10,1,0,0,192
2,Buenos Aires,25 de Mayo,Gobernador Ugarte,6854040.0,0,0,0,0,0,0,0,181,181
3,Buenos Aires,25 de Mayo,Norberto de la Riestra,6854060.0,0,782,0,6,167,0,0,327,1282
4,Buenos Aires,25 de Mayo,Lucas Monteverde,6854050.0,0,0,0,0,0,0,0,6,6
5,Buenos Aires,25 de Mayo,Ernestina,6854030.0,66,0,0,0,0,0,0,0,66
6,Buenos Aires,25 de Mayo,Pedernales,6854070.0,568,0,0,0,0,0,0,7,575
7,Buenos Aires,9 de Julio,12 de Octubre,6588030.0,0,0,0,0,0,0,0,19,19
8,Buenos Aires,9 de Julio,9 de Julio,6588100.0,4360,3362,82,5886,83,1,0,831,14605
9,Buenos Aires,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010.0,450,0,0,0,60,0,0,0,510
10,Buenos Aires,9 de Julio,Dudignac,6588040.0,0,0,1,0,0,0,0,463,464
11,Buenos Aires,9 de Julio,Manuel B. Gonnet  (Est. French),6588060.0,199,0,0,2,2,0,0,0,203
12,Buenos Aires,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,0,0,0,88,0,0,0,42,130
13,Buenos Aires,9 de Julio,Patricios,6588110.0,76,0,0,0,0,0,0,0,76
14,Buenos Aires,Adolfo Alsina,Carhué,6007010.0,780,0,1,1418,1,0,0,283,2483
15,Buenos Aires,Adolfo Alsina,Maza,6007070.0,0,0,0,390,0,2,0,14,406
16,Buenos Aires,Adolfo Alsina,Rivera,6007080.0,0,0,0,1202,0,0,0,0,1202
17,Buenos Aires,Adolfo Alsina,Colonia San Miguel Arcángel,6007020.0,0,0,0,198,0,0,0,0,198
18,Buenos Aires,Adolfo Alsina,Esteban Agustín Gascón,6007050.0,0,0,0,58,0,0,0,0,58
19,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,549,0,2,943,0,0,0,313,1807
20,Buenos Aires,Adolfo Gonzales Chaves,De la Garma,6014020.0,0,0,0,630,0,0,0,59,689
21,Buenos Aires,Adolfo Gonzales Chaves,Juan E. Barra,6014030.0,0,0,0,0,0,0,0,45,45
22,Buenos Aires,Adolfo Gonzales Chaves,Vásquez,6014040.0,0,0,0,0,0,0,0,14,14
23,Buenos Aires,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010.0,457,0,6,1,0,0,0,8,472
24,Buenos Aires,Alberti,Mechita,6021030.0,285,0,0,0,0,0,0,0,285
